Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
41,1,Travel_Rarely,0.1102,Sales,0.01,2,Life Sciences,1,1,2,0,0.094,3,2,Sales Executive,4,Single,Medium Income,0.19479,0.8,Y,1,11,3,1,80,0,0,1,0.06,0.0
49,0,Travel_Frequently,0.0279,Research & Development,0.08,1,Life Sciences,1,2,3,1,0.061,2,2,Research Scientist,2,Married,Medium Income,0.24907,0.1,Y,0,23,3,4,80,1,3,3,0.1,0.01
37,1,Travel_Rarely,0.1373,Research & Development,0.02,2,Other,1,4,4,1,0.092,2,1,Laboratory Technician,3,Single,Low Income,0.02396,0.6,Y,1,15,3,2,80,0,3,3,0.0,0.0
33,0,Travel_Frequently,0.1392,Research & Development,0.03,4,Life Sciences,1,5,4,0,0.056,3,1,Research Scientist,3,Married,Low Income,0.23159,0.1,Y,1,11,3,3,80,0,3,3,0.08,0.03
27,0,Travel_Rarely,0.0591,Research & Development,0.02,1,Medical,1,7,1,1,0.04,3,1,Laboratory Technician,2,Married,Low Income,0.16632,0.9,Y,0,12,3,4,80,1,3,3,0.02,0.02
32,0,Travel_Frequently,0.1005,Research & Development,0.02,2,Life Sciences,1,8,4,1,0.079,3,1,Laboratory Technician,4,Single,Low Income,0.11864,0.0,Y,0,13,3,3,80,0,2,2,0.07,0.03
59,0,Travel_Rarely,0.1324,Research & Development,0.03,3,Medical,1,10,3,0,0.081,4,1,Laboratory Technician,1,Married,Low Income,0.09964,0.4,Y,1,20,3,1,80,3,3,2,0.01,0.0
30,0,Travel_Rarely,0.1358,Research & Development,0.24,1,Life Sciences,1,11,4,1,0.067,3,1,Laboratory Technician,3,Divorced,Low Income,0.13335,0.1,Y,0,22,3,2,80,1,2,3,0.01,0.0
38,0,Travel_Frequently,0.0216,Research & Development,0.23,3,Life Sciences,1,12,4,1,0.044,2,3,Manufacturing Director,3,Single,High Income,0.08787,0.0,Y,0,21,3,2,80,0,2,3,0.09,0.01
36,0,Travel_Rarely,0.1299,Research & Development,0.27,3,Medical,1,13,3,1,0.094,3,2,Healthcare Representative,3,Married,Medium Income,0.16577,0.6,Y,0,13,3,2,80,2,3,2,0.07,0.07
35,0,Travel_Rarely,0.0809,Research & Development,0.16,3,Medical,1,14,1,1,0.084,4,1,Laboratory Technician,2,Married,Low Income,0.16479,0.0,Y,0,13,3,3,80,1,5,3,0.05,0.0
29,0,Travel_Rarely,0.0153,Research & Development,0.15,2,Life Sciences,1,15,4,0,0.049,2,2,Laboratory Technician,3,Single,Medium Income,0.12682,0.0,Y,1,12,3,4,80,0,3,3,0.09,0.0
31,0,Travel_Rarely,0.067,Research & Development,0.26,1,Life Sciences,1,16,1,1,0.031,3,1,Research Scientist,3,Divorced,Low Income,0.1517,0.1,Y,0,17,3,4,80,1,1,2,0.05,0.04
34,0,Travel_Rarely,0.1346,Research & Development,0.19,2,Medical,1,18,2,1,0.093,3,1,Laboratory Technician,4,Divorced,Low Income,0.08758,0.0,Y,0,11,3,3,80,1,2,3,0.02,0.01
28,1,Travel_Rarely,0.0103,Research & Development,0.24,3,Life Sciences,1,19,3,1,0.05,2,1,Laboratory Technician,3,Single,Low Income,0.12947,0.5,Y,1,14,3,2,80,0,4,3,0.04,0.0
29,0,Travel_Rarely,0.1389,Research & Development,0.21,4,Life Sciences,1,20,2,0,0.051,4,3,Manufacturing Director,1,Divorced,High Income,0.10195,0.1,Y,0,11,3,3,80,1,1,3,0.1,0.08
32,0,Travel_Rarely,0.0334,Research & Development,0.05,2,Life Sciences,1,21,1,1,0.08,4,1,Research Scientist,2,Divorced,Low Income,0.15053,0.0,Y,1,12,3,4,80,2,5,2,0.06,0.0
22,0,Non-Travel,0.1123,Research & Development,0.16,2,Medical,1,22,4,1,0.096,4,1,Laboratory Technician,4,Divorced,Low Income,0.07324,0.1,Y,1,13,3,2,80,2,2,2,0.01,0.0
53,0,Travel_Rarely,0.1219,Sales,0.02,4,Life Sciences,1,23,1,0,0.078,2,4,Manager,4,Married,High Income,0.22021,0.2,Y,0,16,3,3,80,0,3,3,0.25,0.03
38,0,Travel_Rarely,0.0371,Research & Development,0.02,3,Life Sciences,1,24,4,1,0.045,3,1,Research Scientist,4,Single,Medium Income,0.04306,0.5,Y,1,11,3,3,80,0,3,3,0.03,0.01
